st_case,crashdate,state,statename,countyname,totalvehicles,fatals,persons,peds
10340,6/21/2014 9:09 PM,1,Alabama,PIKE (109),1,1,1,0
10341,6/2/2014 10:00 PM,1,Alabama,LAUDERDALE (77),1,1,1,0
10343,6/21/2014 8:15 PM,1,Alabama,MOBILE (97),2,1,2,0
10344,6/24/2014 4:50 AM,1,Alabama,MORGAN (103),1,1,1,1
10345,6/25/2014 6:39 PM,1,Alabama,COLBERT (33),2,1,2,0
10346,6/12/2014 2:42 AM,1,Alabama,JEFFERSON (73),1,1,1,0
10347,6/17/2014 8:45 PM,1,Alabama,JEFFERSON (73),1,1,2,0
10348,5/17/2014 8:14 PM,1,Alabama,BALDWIN (3),2,1,4,0
10349,6/20/2014 8:40 PM,1,Alabama,MOBILE (97),1,1,1,1
10350,6/20/2014 6:45 PM,1,Alabama,SHELBY (117),2,1,7,0
10351,6/18/2014 3:40 PM,1,Alabama,MOBILE (97),1,1,1,2
10352,6/21/2014 8:40 PM,1,Alabama,MOBILE (97),2,1,4,0
10353,6/24/2014 1:55 AM,1,Alabama,JEFFERSON (73),3,1,6,0
10354,6/28/2014 10:35 PM,1,Alabama,ETOWAH (55),1,1,1,1
10355,6/24/2014 12:34 PM,1,Alabama,JEFFERSON (73),1,2,4,0
10356,4/18/2014 9:05 AM,1,Alabama,LAWRENCE (79),2,1,2,0
10357,5/4/2014 12:17 PM,1,Alabama,HALE (65),1,1,1,0
10358,6/1/2014 10:25 AM,1,Alabama,MOBILE (97),2,1,2,0
10359,6/15/2014 8:20 PM,1,Alabama,JEFFERSON (73),2,1,2,0
10360,6/21/2014 3:20 PM,1,Alabama,BUTLER (13),1,1,1,0
10361,6/27/2014 12:05 PM,1,Alabama,RUSSELL (113),1,1,2,0
10362,7/1/2014 5:45 PM,1,Alabama,TALLADEGA (121),1,1,1,0
10363,6/27/2014 6:34 PM,1,Alabama,JEFFERSON (73),3,1,2,0
10364,6/25/2014 1:55 AM,1,Alabama,BALDWIN (3),1,1,3,0
10365,7/4/2014 11:23 AM,1,Alabama,MOBILE (97),2,1,5,0
10366,7/5/2014 6:50 PM,1,Alabama,PERRY (105),1,1,1,0
10367,7/5/2014 4:15 PM,1,Alabama,WALKER (127),1,1,1,0
10368,6/28/2014 9:15 PM,1,Alabama,DALLAS (47),1,1,1,0
10369,7/1/2014 1:38 PM,1,Alabama,CHILTON (21),1,1,2,0
10370,7/2/2014 8:05 AM,1,Alabama,COLBERT (33),2,1,4,0
10371,7/5/2014 5:35 AM,1,Alabama,TUSCALOOSA (125),1,1,4,0
10372,7/6/2014 8:45 PM,1,Alabama,MOBILE (97),1,1,2,1
10373,1/1/0001 12:00 AM,1,Alabama,CLEBURNE (29),1,1,1,0
10374,7/12/2014 3:57 AM,1,Alabama,ETOWAH (55),1,1,1,0
10375,7/11/2014 12:26 PM,1,Alabama,CHEROKEE (19),1,1,1,0
10376,7/3/2014 4:11 PM,1,Alabama,CHILTON (21),1,1,1,1
10377,7/8/2014 3:15 PM,1,Alabama,MOBILE (97),2,1,1,1
10378,7/7/2014 5:22 AM,1,Alabama,JEFFERSON (73),2,1,2,0
10379,7/6/2014 5:00 AM,1,Alabama,COFFEE (31),1,1,1,0
10380,7/5/2014 10:15 PM,1,Alabama,LOWNDES (85),2,2,3,0
10381,7/7/2014 4:41 PM,1,Alabama,COFFEE (31),3,1,8,0
10382,6/3/2014 9:36 AM,1,Alabama,LAUDERDALE (77),2,1,3,0
10383,5/16/2014 1:15 PM,1,Alabama,MADISON (89),2,2,3,0
10384,7/6/2014 12:47 AM,1,Alabama,ST. CLAIR (115),1,1,1,0
10385,7/6/2014 7:27 PM,1,Alabama,LOWNDES (85),1,1,1,0
10386,7/6/2014 9:53 PM,1,Alabama,MONTGOMERY (101),1,1,1,1
10387,7/3/2014 8:36 PM,1,Alabama,AUTAUGA (1),1,1,1,1
10388,7/11/2014 4:20 PM,1,Alabama,LAWRENCE (79),1,1,2,0
10389,7/14/2014 7:42 PM,1,Alabama,ELMORE (51),1,1,1,0
10390,7/15/2014 9:05 PM,1,Alabama,WASHINGTON (129),1,1,2,0
10391,7/16/2014 8:37 PM,1,Alabama,CALHOUN (15),1,1,1,1
10392,7/19/2014 10:40 AM,1,Alabama,BUTLER (13),2,2,2,0
10393,6/24/2014 7:30 PM,1,Alabama,CLEBURNE (29),1,1,1,0
10394,7/16/2014 2:10 PM,1,Alabama,HOUSTON (69),1,1,1,0
10395,7/5/2014 12:15 AM,1,Alabama,MONROE (99),1,1,1,0
10396,7/21/2014 7:07 PM,1,Alabama,COVINGTON (39),1,1,1,0
10397,7/25/2014 8:50 PM,1,Alabama,FAYETTE (57),2,1,1,1
10398,7/24/2014 9:45 PM,1,Alabama,MONTGOMERY (101),1,1,2,0
10399,7/20/2014 9:25 PM,1,Alabama,DALLAS (47),1,1,1,0
10400,7/17/2014 4:35 PM,1,Alabama,JEFFERSON (73),1,1,1,2
10401,7/22/2014 3:25 PM,1,Alabama,TUSCALOOSA (125),3,1,5,0
10402,7/27/2014 7:05 PM,1,Alabama,MONROE (99),2,1,4,0
10403,7/25/2014 12:04 PM,1,Alabama,BIBB (7),2,2,4,0
10404,7/30/2014 9:25 AM,1,Alabama,CLARKE (25),1,1,1,0
10405,7/24/2014 2:24 PM,1,Alabama,TUSCALOOSA (125),1,1,9,0
10406,7/25/2014 8:59 PM,1,Alabama,HOUSTON (69),1,1,1,1
10407,7/26/2014 3:10 AM,1,Alabama,MONTGOMERY (101),2,1,3,0
10408,7/27/2014 7:45 PM,1,Alabama,BLOUNT (9),1,1,2,0
10409,7/26/2014 11:50 AM,1,Alabama,MACON (87),1,1,1,0
10410,7/9/2014 2:24 PM,1,Alabama,BARBOUR (5),2,2,3,0
10411,7/30/2014 11:00 PM,1,Alabama,JEFFERSON (73),1,1,2,0
10412,7/20/2014 6:24 PM,1,Alabama,JEFFERSON (73),4,1,9,0
10413,7/4/2014 3:53 AM,1,Alabama,MADISON (89),1,1,1,1
10414,7/16/2014 4:06 PM,1,Alabama,CRENSHAW (41),2,1,2,0
10415,7/23/2014 10:05 PM,1,Alabama,COVINGTON (39),1,1,1,1
10416,7/26/2014 8:15 PM,1,Alabama,BUTLER (13),1,1,1,0
10417,7/29/2014 8:31 AM,1,Alabama,LAUDERDALE (77),2,1,2,0
10418,8/3/2014 5:10 AM,1,Alabama,ELMORE (51),1,1,1,1
10419,8/2/2014 10:05 PM,1,Alabama,BUTLER (13),1,1,1,0
10420,8/10/2014 1:00 PM,1,Alabama,MOBILE (97),1,2,2,0
10421,8/7/2014 7:36 AM,1,Alabama,MADISON (89),2,1,2,0
10422,8/6/2014 1:23 PM,1,Alabama,MONTGOMERY (101),2,1,2,0
10424,1/13/2014 7:13 PM,1,Alabama,BALDWIN (3),1,1,1,1
10425,7/25/2014 12:12 PM,1,Alabama,WALKER (127),2,1,6,0
10426,8/1/2014 8:20 AM,1,Alabama,PICKENS (107),2,1,2,0
10427,8/1/2014 10:45 PM,1,Alabama,PICKENS (107),1,1,2,0
10428,8/2/2014 2:30 PM,1,Alabama,JACKSON (71),1,1,1,1
10429,7/26/2014 10:30 PM,1,Alabama,MONROE (99),1,1,2,0
10430,8/5/2014 5:35 PM,1,Alabama,LIMESTONE (83),1,1,1,0
10431,8/6/2014 1:35 AM,1,Alabama,ST. CLAIR (115),1,1,1,0
10432,8/12/2014 5:58 PM,1,Alabama,MOBILE (97),1,2,2,0
10433,7/15/2014 4:23 PM,1,Alabama,HOUSTON (69),1,1,1,1
10434,7/28/2014 9:40 AM,1,Alabama,MOBILE (97),1,1,1,1
10435,8/4/2014 4:25 AM,1,Alabama,MONTGOMERY (101),1,1,1,0
10436,8/8/2014 12:55 PM,1,Alabama,BLOUNT (9),2,1,2,0
10437,8/9/2014 7:55 PM,1,Alabama,WALKER (127),1,1,3,0
10438,8/10/2014 8:47 PM,1,Alabama,TALLAPOOSA (123),1,1,4,0
10439,8/11/2014 10:02 AM,1,Alabama,JEFFERSON (73),2,1,2,0
10440,8/15/2014 12:55 PM,1,Alabama,SUMTER (119),1,1,1,0
10441,8/9/2014 10:35 AM,1,Alabama,MADISON (89),2,2,3,0
10442,8/3/2014 5:00 PM,1,Alabama,CULLMAN (43),2,1,2,0
10443,8/5/2014 7:05 PM,1,Alabama,BALDWIN (3),1,1,6,0
10444,8/13/2014 6:25 PM,1,Alabama,LIMESTONE (83),3,1,4,0
10445,8/12/2014 11:51 PM,1,Alabama,JEFFERSON (73),1,1,1,1
10446,8/19/2014 5:30 PM,1,Alabama,TALLADEGA (121),2,1,2,0
10447,8/14/2014 10:30 AM,1,Alabama,ESCAMBIA (53),1,1,1,0
10448,8/16/2014 4:30 PM,1,Alabama,SHELBY (117),2,1,3,0
10449,8/16/2014 10:28 AM,1,Alabama,LAWRENCE (79),2,1,3,0
10450,8/18/2014 9:15 PM,1,Alabama,WALKER (127),2,2,3,0
10451,8/20/2014 2:25 AM,1,Alabama,MARSHALL (95),1,1,1,0
10452,8/20/2014 5:50 AM,1,Alabama,MONTGOMERY (101),1,1,1,1
10453,8/21/2014 7:30 PM,1,Alabama,LAWRENCE (79),1,1,1,0
10454,8/22/2014 10:48 PM,1,Alabama,JEFFERSON (73),2,1,5,0
10455,8/14/2014 10:45 PM,1,Alabama,ESCAMBIA (53),1,1,2,1
10456,8/15/2014 4:12 AM,1,Alabama,JEFFERSON (73),2,1,2,0
10457,8/6/2014 9:08 AM,1,Alabama,MOBILE (97),2,1,3,0
10458,8/16/2014 9:45 AM,1,Alabama,ST. CLAIR (115),1,1,2,0
10459,8/18/2014 11:45 AM,1,Alabama,SHELBY (117),2,1,3,0
10460,8/23/2014 5:00 PM,1,Alabama,DEKALB (49),1,1,1,0
10461,8/2/2014 11:10 PM,1,Alabama,MORGAN (103),1,1,1,1
10462,7/9/2014 7:42 AM,1,Alabama,JEFFERSON (73),2,1,2,0
10463,8/18/2014 3:50 PM,1,Alabama,AUTAUGA (1),2,1,3,0
10465,8/27/2014 2:45 AM,1,Alabama,DALE (45),1,1,1,0
10466,8/28/2014 8:35 PM,1,Alabama,CHEROKEE (19),1,2,2,0
10467,8/29/2014 3:03 PM,1,Alabama,JEFFERSON (73),2,1,2,0
10468,9/1/2014 12:05 PM,1,Alabama,WINSTON (133),1,1,1,0
10469,8/23/2014 4:00 AM,1,Alabama,GREENE (63),1,1,1,0
10470,8/2/2014 10:40 AM,1,Alabama,DALLAS (47),1,1,1,0
10471,8/2/2014 9:40 PM,1,Alabama,BULLOCK (11),1,1,1,0
10472,8/22/2014 11:59 AM,1,Alabama,FRANKLIN (59),1,1,1,0
10473,8/23/2014 1:02 AM,1,Alabama,BALDWIN (3),1,1,1,1
10474,8/27/2014 8:30 PM,1,Alabama,COOSA (37),1,1,3,0
10475,8/29/2014 5:45 PM,1,Alabama,MOBILE (97),1,1,1,0
10476,8/29/2014 9:27 PM,1,Alabama,LEE (81),1,2,2,2
10477,9/1/2014 8:20 AM,1,Alabama,LAUDERDALE (77),1,1,1,2
10478,8/29/2014 11:45 PM,1,Alabama,LAUDERDALE (77),1,1,4,0
10479,9/2/2014 10:10 PM,1,Alabama,ST. CLAIR (115),1,1,1,0
10480,8/28/2014 7:15 PM,1,Alabama,MOBILE (97),1,1,1,0
10481,8/30/2014 1:15 AM,1,Alabama,MOBILE (97),1,1,1,1
10482,8/31/2014 5:27 PM,1,Alabama,ELMORE (51),1,1,1,0
10483,9/1/2014 12:51 PM,1,Alabama,MORGAN (103),1,1,1,0
10484,9/2/2014 7:40 PM,1,Alabama,MOBILE (97),3,1,6,0
10485,9/5/2014 10:35 PM,1,Alabama,JEFFERSON (73),1,1,1,0
10486,9/6/2014 1:55 AM,1,Alabama,SUMTER (119),1,1,3,0
10487,9/6/2014 7:45 PM,1,Alabama,COFFEE (31),1,1,1,0
10488,9/10/2014 1:30 PM,1,Alabama,JEFFERSON (73),1,1,1,0
10489,8/31/2014 3:05 PM,1,Alabama,MOBILE (97),1,1,1,0
10490,9/8/2014 5:30 PM,1,Alabama,JEFFERSON (73),1,1,1,0
10491,9/2/2014 8:10 PM,1,Alabama,LIMESTONE (83),1,1,1,1
10492,9/6/2014 12:15 AM,1,Alabama,CHAMBERS (17),1,1,1,0
10493,9/8/2014 10:40 PM,1,Alabama,GREENE (63),1,1,1,0
10494,9/13/2014 2:44 AM,1,Alabama,MADISON (89),1,1,1,1
10495,8/27/2014 7:24 PM,1,Alabama,JEFFERSON (73),1,1,1,0
10496,9/2/2014 6:50 AM,1,Alabama,MONTGOMERY (101),2,1,2,0
10497,9/10/2014 6:15 PM,1,Alabama,DALLAS (47),1,1,3,0
10498,9/9/2014 10:50 AM,1,Alabama,MARSHALL (95),3,1,3,0
10499,9/12/2014 5:49 PM,1,Alabama,JEFFERSON (73),1,1,1,1
10500,6/19/2014 7:20 AM,1,Alabama,CHILTON (21),2,1,3,0
10501,9/14/2014 12:45 PM,1,Alabama,RANDOLPH (111),2,1,4,0
10502,9/14/2014 11:04 PM,1,Alabama,MADISON (89),1,1,1,3
10503,9/17/2014 12:09 AM,1,Alabama,DEKALB (49),1,2,2,0
10504,9/14/2014 5:05 PM,1,Alabama,COFFEE (31),1,1,1,0
10505,9/2/2014 12:26 PM,1,Alabama,ETOWAH (55),2,1,3,0
10506,9/9/2014 9:15 PM,1,Alabama,MOBILE (97),1,1,2,0
10507,9/14/2014 8:25 PM,1,Alabama,GENEVA (61),1,1,1,0
10508,9/19/2014 6:38 AM,1,Alabama,MOBILE (97),1,1,1,0
10509,9/19/2014 8:05 PM,1,Alabama,ESCAMBIA (53),1,1,1,0
10510,9/20/2014 7:50 PM,1,Alabama,WASHINGTON (129),1,1,1,0
10511,9/21/2014 7:06 PM,1,Alabama,CHILTON (21),1,1,1,1
10512,8/19/2014 6:55 PM,1,Alabama,DEKALB (49),1,1,1,0
10513,9/23/2014 8:33 PM,1,Alabama,DALE (45),1,1,1,1
10514,9/20/2014 6:40 PM,1,Alabama,CONECUH (35),2,1,2,0
10515,9/7/2014 5:14 PM,1,Alabama,JEFFERSON (73),2,1,7,0
10516,8/31/2014 10:46 PM,1,Alabama,ST. CLAIR (115),1,1,1,0
10517,9/10/2014 8:57 PM,1,Alabama,BULLOCK (11),1,1,1,1
10518,9/14/2014 2:50 AM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10519,9/17/2014 12:40 PM,1,Alabama,COLBERT (33),1,1,1,1
10520,9/18/2014 12:07 AM,1,Alabama,COFFEE (31),1,1,1,0
10521,9/18/2014 11:30 PM,1,Alabama,LAUDERDALE (77),1,2,2,0
10522,9/25/2014 7:05 AM,1,Alabama,MARSHALL (95),2,1,4,0
10523,9/26/2014 6:10 AM,1,Alabama,CULLMAN (43),2,1,2,0
10524,9/27/2014 3:45 AM,1,Alabama,TALLADEGA (121),1,1,1,0
10525,9/27/2014 12:05 PM,1,Alabama,ETOWAH (55),1,1,1,0
10526,9/27/2014 10:50 AM,1,Alabama,SHELBY (117),2,1,4,0
10527,9/28/2014 9:37 AM,1,Alabama,MADISON (89),2,1,5,0
10528,7/11/2014 4:29 PM,1,Alabama,TALLADEGA (121),2,1,3,0
10529,9/27/2014 4:45 AM,1,Alabama,DALE (45),1,1,1,0
10530,9/28/2014 12:30 AM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10531,9/28/2014 4:22 AM,1,Alabama,CULLMAN (43),1,1,1,0
10532,9/29/2014 7:45 AM,1,Alabama,SHELBY (117),1,2,2,0
10533,9/20/2014 2:10 PM,1,Alabama,JEFFERSON (73),1,1,1,0
10534,9/24/2014 11:32 PM,1,Alabama,MOBILE (97),1,1,1,1
10535,9/28/2014 12:05 PM,1,Alabama,JEFFERSON (73),1,1,2,0
10536,9/11/2014 12:35 PM,1,Alabama,CHILTON (21),2,1,2,0
10537,9/18/2014 9:45 PM,1,Alabama,CLARKE (25),1,1,1,0
10538,9/27/2014 11:05 PM,1,Alabama,MOBILE (97),1,2,4,0
10539,9/28/2014 4:10 PM,1,Alabama,PIKE (109),1,1,2,0
10540,9/29/2014 4:20 PM,1,Alabama,LAUDERDALE (77),1,1,1,0
10541,10/4/2014 8:15 PM,1,Alabama,MONTGOMERY (101),1,1,1,0
10542,10/6/2014 1:00 PM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10543,10/7/2014 9:00 AM,1,Alabama,LIMESTONE (83),1,1,1,0
10544,10/3/2014 11:58 AM,1,Alabama,TUSCALOOSA (125),2,1,2,0
10545,10/9/2014 1:55 AM,1,Alabama,ELMORE (51),1,1,4,0
10546,10/6/2014 8:55 AM,1,Alabama,JACKSON (71),1,1,1,0
10547,10/3/2014 3:55 PM,1,Alabama,ESCAMBIA (53),1,1,1,0
10548,9/28/2014 6:33 PM,1,Alabama,RUSSELL (113),1,1,1,0
10549,9/26/2014 3:59 PM,1,Alabama,ETOWAH (55),2,1,2,0
10550,9/19/2014 6:00 PM,1,Alabama,DALLAS (47),1,1,3,0
10551,7/30/2014 11:07 PM,1,Alabama,MARSHALL (95),1,1,1,1
10552,9/24/2014 10:13 AM,1,Alabama,BALDWIN (3),2,1,2,0
10553,10/1/2014 3:50 PM,1,Alabama,MARSHALL (95),1,1,1,0
10554,10/7/2014 7:07 AM,1,Alabama,BIBB (7),2,1,2,0
10555,10/5/2014 5:03 PM,1,Alabama,TALLADEGA (121),1,1,2,0
10556,10/11/2014 10:30 PM,1,Alabama,TUSCALOOSA (125),1,1,3,0
10557,10/2/2014 3:30 AM,1,Alabama,TUSCALOOSA (125),1,1,1,1
10558,8/22/2014 8:10 PM,1,Alabama,SHELBY (117),1,1,2,1
10559,9/17/2014 3:15 AM,1,Alabama,BULLOCK (11),1,1,1,0
10560,10/14/2014 5:15 AM,1,Alabama,JACKSON (71),1,1,2,0
10561,10/16/2014 10:40 AM,1,Alabama,DEKALB (49),1,1,1,0
10562,10/10/2014 8:05 PM,1,Alabama,GREENE (63),1,1,1,1
10563,10/6/2014 7:05 AM,1,Alabama,HOUSTON (69),1,1,2,1
10564,10/6/2014 10:33 AM,1,Alabama,COVINGTON (39),2,2,4,0
10565,10/5/2014 10:30 AM,1,Alabama,COVINGTON (39),2,1,3,0
10566,9/28/2014 3:15 PM,1,Alabama,MOBILE (97),1,1,1,0
10567,10/8/2014 2:10 AM,1,Alabama,ELMORE (51),1,1,1,0
10568,9/19/2014 3:55 PM,1,Alabama,MARSHALL (95),2,1,2,0
10569,10/20/2014 8:25 PM,1,Alabama,CLARKE (25),1,1,1,0
10570,10/6/2014 3:48 PM,1,Alabama,LEE (81),3,1,4,0
10571,9/24/2014 8:00 AM,1,Alabama,LAUDERDALE (77),1,1,1,1
10572,10/4/2014 4:18 AM,1,Alabama,MOBILE (97),1,1,2,1
10573,10/4/2014 1:40 PM,1,Alabama,LAWRENCE (79),1,1,1,0
10574,10/4/2014 6:53 PM,1,Alabama,ESCAMBIA (53),2,1,4,0
10575,10/11/2014 9:16 PM,1,Alabama,CRENSHAW (41),2,1,3,0
10576,10/14/2014 10:45 AM,1,Alabama,PIKE (109),2,1,2,0
10577,10/18/2014 6:20 PM,1,Alabama,SUMTER (119),1,1,1,0
10578,10/19/2014 5:30 AM,1,Alabama,SHELBY (117),1,1,2,0
10579,10/22/2014 7:12 PM,1,Alabama,MADISON (89),2,1,2,0
10580,10/19/2014 11:48 AM,1,Alabama,MONTGOMERY (101),1,1,2,1
10581,10/8/2014 4:00 AM,1,Alabama,JEFFERSON (73),1,1,1,0
10582,10/27/2014 6:30 PM,1,Alabama,COVINGTON (39),3,2,6,0
10583,10/26/2014 8:30 PM,1,Alabama,HOUSTON (69),1,1,2,0
10584,10/25/2014 11:00 AM,1,Alabama,DALLAS (47),2,1,2,0
10585,10/18/2014 9:13 PM,1,Alabama,CHOCTAW (23),1,1,3,0
10586,10/22/2014 8:23 PM,1,Alabama,FRANKLIN (59),2,2,2,0
10587,10/19/2014 4:34 PM,1,Alabama,RUSSELL (113),1,2,4,0
10588,10/25/2014 3:35 AM,1,Alabama,MACON (87),1,1,1,0
10589,10/25/2014 5:15 PM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10590,10/27/2014 11:45 AM,1,Alabama,WASHINGTON (129),1,2,2,0
10591,10/28/2014 5:06 PM,1,Alabama,CONECUH (35),2,1,4,0
10592,10/29/2014 6:43 PM,1,Alabama,CHEROKEE (19),1,1,1,1
10593,11/1/2014 11:10 PM,1,Alabama,LIMESTONE (83),1,1,2,0
10594,10/24/2014 6:52 PM,1,Alabama,SHELBY (117),1,1,1,0
10595,10/29/2014 5:20 PM,1,Alabama,MARSHALL (95),2,1,2,0
10596,10/31/2014 6:16 AM,1,Alabama,ELMORE (51),2,1,2,0
10597,10/31/2014 4:10 PM,1,Alabama,LIMESTONE (83),2,1,3,0
10598,10/31/2014 9:52 PM,1,Alabama,LEE (81),1,1,5,0
10599,11/1/2014 10:35 AM,1,Alabama,MOBILE (97),1,1,1,0
10600,11/1/2014 2:20 PM,1,Alabama,BALDWIN (3),1,1,1,0
10601,11/2/2014 2:02 AM,1,Alabama,COLBERT (33),1,3,3,0
10602,11/4/2014 11:15 PM,1,Alabama,CALHOUN (15),1,1,1,0
10603,11/5/2014 10:25 AM,1,Alabama,TALLAPOOSA (123),1,1,1,0
10604,11/5/2014 6:25 PM,1,Alabama,ST. CLAIR (115),2,1,3,0
10605,11/5/2014 4:53 PM,1,Alabama,MORGAN (103),1,1,1,1
10606,11/7/2014 6:10 PM,1,Alabama,JEFFERSON (73),1,1,1,1
10607,11/8/2014 5:11 PM,1,Alabama,MADISON (89),2,1,3,0
10608,11/9/2014 5:12 AM,1,Alabama,CALHOUN (15),1,1,2,0
10609,11/10/2014 7:55 AM,1,Alabama,MOBILE (97),2,2,2,0
10610,11/10/2014 9:00 PM,1,Alabama,MOBILE (97),1,2,2,0
10612,10/15/2014 1:23 PM,1,Alabama,BALDWIN (3),1,1,2,0
10613,10/8/2014 9:50 PM,1,Alabama,TUSCALOOSA (125),1,1,3,0
10614,10/18/2014 7:07 AM,1,Alabama,HOUSTON (69),2,1,4,0
10615,10/22/2014 8:05 AM,1,Alabama,GREENE (63),2,1,3,0
10616,10/28/2014 6:40 AM,1,Alabama,CHILTON (21),1,1,1,0
10617,11/2/2014 10:00 PM,1,Alabama,HALE (65),2,3,5,0
10618,11/9/2014 5:40 PM,1,Alabama,MOBILE (97),2,1,2,1
10619,11/11/2014 11:10 PM,1,Alabama,MOBILE (97),1,1,1,0
10620,11/12/2014 3:00 AM,1,Alabama,WASHINGTON (129),1,1,1,0
10621,11/12/2014 4:00 AM,1,Alabama,CALHOUN (15),1,1,2,0
10622,11/13/2014 9:10 PM,1,Alabama,SUMTER (119),2,1,2,0
10623,11/15/2014 12:25 AM,1,Alabama,MADISON (89),1,1,1,1
10624,11/18/2014 3:20 AM,1,Alabama,JEFFERSON (73),1,1,1,0
10625,11/19/2014 6:59 PM,1,Alabama,MADISON (89),2,1,2,1
10626,11/22/2014 4:34 AM,1,Alabama,JEFFERSON (73),3,1,4,0
10627,10/5/2014 9:05 PM,1,Alabama,ESCAMBIA (53),2,1,2,0
10628,10/22/2014 8:34 PM,1,Alabama,HOUSTON (69),2,1,7,0
10629,11/8/2014 1:45 PM,1,Alabama,MARSHALL (95),3,1,4,0
10630,11/17/2014 8:21 AM,1,Alabama,LAMAR (75),1,1,1,0
10631,11/18/2014 10:15 AM,1,Alabama,MONTGOMERY (101),1,1,1,0
10632,11/18/2014 10:10 PM,1,Alabama,TALLADEGA (121),1,1,1,0
10633,11/18/2014 11:30 PM,1,Alabama,SHELBY (117),1,1,1,0
10634,11/21/2014 5:00 AM,1,Alabama,BALDWIN (3),1,1,1,0
10635,11/22/2014 8:35 AM,1,Alabama,COOSA (37),2,1,2,0
10636,11/23/2014 7:00 PM,1,Alabama,TALLADEGA (121),1,1,1,1
10637,11/16/2014 4:00 AM,1,Alabama,MOBILE (97),2,1,2,0
10638,11/23/2014 3:45 AM,1,Alabama,BUTLER (13),1,1,2,0
10639,11/24/2014 7:31 PM,1,Alabama,JEFFERSON (73),4,1,5,0
10640,8/15/2014 10:42 PM,1,Alabama,MOBILE (97),2,1,2,0
10641,11/10/2014 9:45 PM,1,Alabama,HALE (65),1,1,1,0
10642,10/1/2014 12:19 PM,1,Alabama,LIMESTONE (83),2,1,2,0
10643,11/19/2014 12:30 PM,1,Alabama,CHILTON (21),1,1,1,0
10644,11/20/2014 7:10 PM,1,Alabama,GENEVA (61),1,1,1,0
10645,11/21/2014 2:15 PM,1,Alabama,ELMORE (51),1,1,1,0
10646,11/22/2014 1:35 AM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10647,11/22/2014 10:20 PM,1,Alabama,COOSA (37),1,1,2,0
10648,11/22/2014 10:20 PM,1,Alabama,MONTGOMERY (101),2,1,3,2
10649,11/23/2014 12:50 AM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10650,11/24/2014 8:05 AM,1,Alabama,SHELBY (117),2,1,2,0
10651,11/25/2014 1:50 PM,1,Alabama,TUSCALOOSA (125),2,2,2,0
10652,11/23/2014 7:49 PM,1,Alabama,ELMORE (51),2,4,5,0
10653,11/27/2014 12:59 PM,1,Alabama,MONTGOMERY (101),2,2,6,0
10654,11/27/2014 3:00 PM,1,Alabama,MADISON (89),2,1,5,0
10655,11/27/2014 2:18 PM,1,Alabama,MADISON (89),2,1,2,0
10656,11/28/2014 9:40 PM,1,Alabama,DALLAS (47),1,1,1,0
10657,11/30/2014 9:22 AM,1,Alabama,MACON (87),1,1,1,0
10659,12/6/2014 2:28 AM,1,Alabama,JEFFERSON (73),1,2,2,0
10660,11/14/2014 1:23 PM,1,Alabama,RUSSELL (113),2,1,4,0
10661,11/16/2014 6:03 PM,1,Alabama,PICKENS (107),2,1,3,0
10662,11/19/2014 6:20 AM,1,Alabama,CULLMAN (43),2,1,2,0
10663,11/23/2014 12:10 AM,1,Alabama,BUTLER (13),1,1,1,0
10664,11/24/2014 9:36 AM,1,Alabama,CONECUH (35),1,1,3,0
10665,11/25/2014 6:10 PM,1,Alabama,MOBILE (97),1,1,4,1
10666,11/25/2014 7:00 PM,1,Alabama,HOUSTON (69),2,1,6,0
10667,11/29/2014 5:45 PM,1,Alabama,GREENE (63),2,2,5,0
10668,12/2/2014 8:48 AM,1,Alabama,CULLMAN (43),1,1,1,0
10669,12/4/2014 1:13 AM,1,Alabama,ESCAMBIA (53),1,1,2,0
10670,12/4/2014 7:28 AM,1,Alabama,JEFFERSON (73),2,1,3,0
10671,12/5/2014 10:55 AM,1,Alabama,ETOWAH (55),1,1,1,0
10672,12/7/2014 12:05 AM,1,Alabama,BULLOCK (11),1,1,1,0
10673,12/7/2014 6:05 AM,1,Alabama,BALDWIN (3),1,1,1,0
10674,12/7/2014 1:00 AM,1,Alabama,MARSHALL (95),1,1,1,0
10675,12/9/2014 9:00 PM,1,Alabama,MADISON (89),1,1,1,0
10676,12/11/2014 5:40 AM,1,Alabama,MOBILE (97),2,1,2,0
10677,12/14/2014 3:05 AM,1,Alabama,LAWRENCE (79),1,1,1,0
10678,11/29/2014 6:30 PM,1,Alabama,AUTAUGA (1),1,1,1,0
10679,12/12/2014 2:45 PM,1,Alabama,JEFFERSON (73),2,1,2,0
10680,12/13/2014 5:37 PM,1,Alabama,BALDWIN (3),1,1,1,1
10681,6/15/2014 11:05 PM,1,Alabama,MARSHALL (95),1,1,1,2
10682,12/4/2014 2:45 AM,1,Alabama,ELMORE (51),1,1,1,0
10683,12/4/2014 11:35 PM,1,Alabama,FRANKLIN (59),1,1,2,0
10684,12/5/2014 5:43 PM,1,Alabama,RUSSELL (113),1,1,1,0
10685,12/8/2014 6:35 PM,1,Alabama,COVINGTON (39),2,1,3,0
