st_case,crashdate,state,statename,countyname,totalvehicles,fatals,persons,peds
10078,2/8/2014 3:46 PM,1,Alabama,RUSSELL (113),1,1,1,0
10079,2/8/2014 6:50 PM,1,Alabama,BALDWIN (3),2,1,2,0
10080,2/9/2014 5:15 PM,1,Alabama,LAWRENCE (79),1,1,1,0
10081,2/9/2014 11:00 PM,1,Alabama,AUTAUGA (1),2,2,3,2
10082,2/13/2014 5:00 PM,1,Alabama,CHILTON (21),1,1,1,1
10083,2/13/2014 6:00 PM,1,Alabama,TUSCALOOSA (125),2,1,2,0
10084,2/13/2014 9:30 PM,1,Alabama,MORGAN (103),1,1,3,0
10085,2/15/2014 7:15 AM,1,Alabama,SHELBY (117),1,1,1,0
10086,2/17/2014 6:15 PM,1,Alabama,CULLMAN (43),1,1,1,0
10087,2/18/2014 11:30 AM,1,Alabama,JEFFERSON (73),2,1,2,1
10088,2/19/2014 8:35 PM,1,Alabama,MONTGOMERY (101),1,1,1,0
10089,2/21/2014 3:19 AM,1,Alabama,MOBILE (97),2,1,2,0
10090,2/1/2014 4:49 PM,1,Alabama,MOBILE (97),2,1,3,0
10091,2/5/2014 7:29 AM,1,Alabama,RANDOLPH (111),2,1,5,0
10092,2/11/2014 8:57 PM,1,Alabama,RUSSELL (113),3,1,5,1
10093,2/16/2014 8:45 AM,1,Alabama,CALHOUN (15),1,1,1,0
10094,2/23/2014 3:08 AM,1,Alabama,MOBILE (97),1,1,1,0
10095,1/3/2014 6:10 PM,1,Alabama,JEFFERSON (73),3,1,3,0
10096,2/8/2014 7:01 PM,1,Alabama,LEE (81),1,1,3,1
10097,2/13/2014 9:00 PM,1,Alabama,DALLAS (47),1,1,1,0
10098,2/15/2014 11:05 PM,1,Alabama,MOBILE (97),3,3,6,0
10099,2/17/2014 9:50 PM,1,Alabama,MONTGOMERY (101),1,1,4,0
10100,2/17/2014 5:43 PM,1,Alabama,MONTGOMERY (101),1,1,1,1
10101,2/20/2014 1:30 PM,1,Alabama,LEE (81),2,1,1,0
10102,2/21/2014 6:10 PM,1,Alabama,MOBILE (97),2,1,8,0
10103,2/21/2014 10:45 PM,1,Alabama,DALLAS (47),2,1,5,0
10104,2/22/2014 7:55 AM,1,Alabama,LEE (81),1,1,1,0
10105,2/23/2014 12:17 PM,1,Alabama,MONTGOMERY (101),2,2,5,0
10106,2/23/2014 9:00 PM,1,Alabama,CULLMAN (43),1,1,1,0
10107,2/23/2014 10:00 PM,1,Alabama,COVINGTON (39),1,3,5,0
10108,2/25/2014 4:40 AM,1,Alabama,MADISON (89),2,2,3,0
10109,2/25/2014 6:20 AM,1,Alabama,TALLADEGA (121),1,1,1,0
10110,2/21/2014 11:23 PM,1,Alabama,JEFFERSON (73),1,1,1,0
10111,2/23/2014 4:26 PM,1,Alabama,TUSCALOOSA (125),2,1,2,0
10112,2/24/2014 12:38 PM,1,Alabama,COFFEE (31),1,1,1,0
10113,2/28/2014 11:10 AM,1,Alabama,COOSA (37),1,1,1,0
10114,2/26/2014 8:55 PM,1,Alabama,DEKALB (49),1,1,3,0
10115,2/28/2014 7:40 AM,1,Alabama,ESCAMBIA (53),1,1,1,0
10116,3/1/2014 6:00 AM,1,Alabama,LOWNDES (85),1,1,1,0
10117,3/4/2014 11:45 AM,1,Alabama,CLEBURNE (29),1,1,1,0
10118,3/2/2014 12:10 AM,1,Alabama,MOBILE (97),1,1,6,0
10119,3/3/2014 12:15 PM,1,Alabama,MARSHALL (95),1,1,3,0
10120,3/3/2014 6:00 PM,1,Alabama,ETOWAH (55),1,1,2,0
10121,3/4/2014 10:27 PM,1,Alabama,MOBILE (97),1,1,1,0
10122,3/4/2014 12:12 PM,1,Alabama,JEFFERSON (73),1,1,1,1
10123,3/5/2014 9:10 AM,1,Alabama,MACON (87),2,1,2,0
10124,3/5/2014 7:40 PM,1,Alabama,AUTAUGA (1),1,1,1,1
10125,3/8/2014 8:45 PM,1,Alabama,LAWRENCE (79),1,1,1,0
10126,3/8/2014 4:45 PM,1,Alabama,MARENGO (91),1,1,1,0
10127,3/10/2014 10:05 PM,1,Alabama,CLARKE (25),1,1,1,0
10128,3/11/2014 10:05 AM,1,Alabama,TUSCALOOSA (125),1,1,1,0
10129,2/5/2014 7:10 PM,1,Alabama,DEKALB (49),4,2,4,0
10130,3/10/2014 9:30 PM,1,Alabama,MARENGO (91),1,1,1,0
10131,3/24/2014 9:11 PM,1,Alabama,DALE (45),2,1,3,0
10132,3/1/2014 11:20 PM,1,Alabama,MOBILE (97),2,1,4,0
10133,3/8/2014 4:00 AM,1,Alabama,JACKSON (71),1,1,1,0
10134,3/13/2014 9:50 AM,1,Alabama,MACON (87),2,1,2,0
10135,3/13/2014 9:00 PM,1,Alabama,MOBILE (97),1,1,1,0
10136,3/14/2014 10:00 AM,1,Alabama,CALHOUN (15),2,1,3,0
10137,3/14/2014 4:25 PM,1,Alabama,SHELBY (117),1,1,1,0
10138,3/14/2014 2:55 PM,1,Alabama,CHOCTAW (23),1,2,2,0
10139,3/14/2014 6:10 PM,1,Alabama,CHILTON (21),1,1,1,0
10140,3/16/2014 6:35 AM,1,Alabama,TALLAPOOSA (123),1,1,1,0
10141,3/17/2014 10:09 AM,1,Alabama,JEFFERSON (73),2,1,2,0
10142,3/17/2014 7:15 AM,1,Alabama,RUSSELL (113),2,1,3,0
10143,3/17/2014 3:20 PM,1,Alabama,COOSA (37),3,1,4,0
10144,3/17/2014 6:19 AM,1,Alabama,MONTGOMERY (101),2,1,2,0
10145,3/20/2014 7:10 PM,1,Alabama,GENEVA (61),1,1,1,0
10146,3/21/2014 7:50 AM,1,Alabama,FRANKLIN (59),1,1,1,0
10147,3/21/2014 7:45 AM,1,Alabama,LEE (81),1,1,1,0
10148,3/22/2014 1:45 AM,1,Alabama,CULLMAN (43),1,1,3,0
10149,3/22/2014 11:08 PM,1,Alabama,MADISON (89),1,1,1,1
10150,3/25/2014 7:58 AM,1,Alabama,LEE (81),3,2,4,0
10151,3/25/2014 7:15 PM,1,Alabama,BLOUNT (9),1,1,1,0
10152,2/1/2014 3:40 AM,1,Alabama,LIMESTONE (83),1,1,1,0
10153,3/22/2014 1:35 PM,1,Alabama,BALDWIN (3),1,1,2,0
10154,3/22/2014 7:35 PM,1,Alabama,MOBILE (97),1,2,2,0
10155,3/22/2014 10:18 PM,1,Alabama,TUSCALOOSA (125),1,1,2,0
10156,3/22/2014 11:25 PM,1,Alabama,BALDWIN (3),1,1,3,0
10157,3/30/2014 1:48 PM,1,Alabama,TUSCALOOSA (125),1,1,3,0
10158,3/31/2014 5:49 PM,1,Alabama,MOBILE (97),2,1,2,0
10159,3/31/2014 7:10 PM,1,Alabama,ST. CLAIR (115),2,2,3,0
10160,4/2/2014 4:25 PM,1,Alabama,MADISON (89),1,1,1,0
10161,4/1/2014 12:47 PM,1,Alabama,MONTGOMERY (101),2,1,4,0
10162,2/3/2014 2:30 PM,1,Alabama,WILCOX (131),2,1,2,0
10163,3/21/2014 1:45 AM,1,Alabama,BALDWIN (3),1,1,1,2
10164,3/22/2014 3:55 AM,1,Alabama,GREENE (63),2,1,3,0
10165,3/22/2014 8:10 PM,1,Alabama,WILCOX (131),1,1,1,0
10166,3/23/2014 9:15 PM,1,Alabama,CALHOUN (15),1,1,1,1
10167,3/26/2014 10:38 PM,1,Alabama,ETOWAH (55),1,1,2,0
10168,3/26/2014 10:00 PM,1,Alabama,MARENGO (91),1,1,1,0
10169,3/27/2014 7:05 PM,1,Alabama,CHAMBERS (17),1,1,1,0
10170,3/28/2014 9:20 PM,1,Alabama,ELMORE (51),1,1,1,0
10171,3/30/2014 3:10 AM,1,Alabama,WALKER (127),1,1,1,0
10172,3/30/2014 8:10 AM,1,Alabama,DEKALB (49),1,1,2,0
10173,3/30/2014 10:45 PM,1,Alabama,CULLMAN (43),1,1,1,0
10174,3/30/2014 5:11 PM,1,Alabama,LEE (81),3,1,5,0
10175,3/31/2014 2:30 AM,1,Alabama,ETOWAH (55),2,1,2,0
10176,1/1/0001 12:00 AM,1,Alabama,JEFFERSON (73),1,1,1,0
10177,4/3/2014 3:45 AM,1,Alabama,MOBILE (97),1,1,1,0
10178,4/4/2014 5:56 AM,1,Alabama,MOBILE (97),1,1,1,0
10179,4/4/2014 3:20 PM,1,Alabama,MARSHALL (95),2,1,2,0
