CaseNumber,Make,Model,Year,LicenseState,Death,Speeding,SpeedLimit,RoadConditions,Violation
60962,Nissan/Datsun,200SX/240SX,1997,California,0,No,45,Dry,None
60963,Harley-Davidson,750cc or greater,2005,California,1,No,55,Dry,None
60963,Toyota,Highlander,2016,California,0,No,55,Dry,None
60963,Harley-Davidson,750cc or greater,2003,California,0,No,55,Dry,None
60964,Toyota,Corolla,2006,California,1,No,55,Dry,None
60964,Hyundai,Elantra,2005,California,0,No,55,Dry,None
60965,Chevrolet,Sonic,2016,California,1,No,55,Dry,None
60965,Subaru,Outback (2003 on)(see 034 for prior to 2003),2018,California,0,No,55,Dry,None
60966,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,No,30,Wet,None
60967,Honda,Element,2003,California,0,No,40,Wet,None
60968,Subaru,Impreza,2007,California,1,No,45,Dry,None
60969,Yamaha,450-749cc,2009,California,1,No,40,Wet,None
60969,BMW,3-series,2012,California,0,No,25,Wet,None
60970,Nissan/Datsun,Altima,2011,No Driver Present/Unknown if Driver Present,0,No Driver Present/Unknown if Driver Present,65,Dry,No Driver Present/Unknown if Driver Present
60970,KIA,Soul,2010,California,1,No,65,Dry,None
60971,Freightliner,Medium/Heavy - CBE,2003,California,0,No,55,Dry,None
60971,Chevrolet,Suburban (from 1950-2003;see 422 for 2004 on),1999,California,3,No,55,Dry,None
60972,Lincoln,Navigator,1999,California,2,No,70,Dry,None
60973,Harley-Davidson,750cc or greater,2005,California,2,No,55,Dry,None
60973,Ford,Ranger,1993,California,1,No,55,Dry,None
60974,Mazda,Pickup/ B-Series Pickup,2006,California,1,No,55,Dry,None
60975,Harley-Davidson,750cc or greater,2009,California,1,No,55,Dry,None
60975,Volvo,Medium/Heavy ï¿½ CBE,2012,California,0,No,55,Dry,None
60976,Peterbilt,Medium/Heavy ï¿½ Unknown engine location,2015,California,0,"Yes, Too Fast for Conditions",55,Dry,None
60976,Toyota,Camry,2014,California,0,"Yes, Too Fast for Conditions",55,Dry,None
60976,Honda,"Civic/CRX, del Sol",2010,California,2,"Yes, Too Fast for Conditions",55,Dry,None
60977,Fiat,500/500c,2012,California,0,No,65,Dry,None
60978,Chevrolet,Fullsize Blazer/Tahoe,2004,California,2,No,70,Dry,None
60979,Nissan/Datsun,"Rogue (For 2008-2018 only.  For model years 2019 on, see 35-404.)",2018,California,1,"Yes, Too Fast for Conditions",25,Dry,None
60980,Mitsubishi,"Outlander (For 2003-2018 only.  For model years 2019 on, see 52-404.)",2015,California,0,No,35,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60980,Harley-Davidson,750cc or greater,1993,California,1,No,35,Dry,None
60981,Toyota,Camry,2017,California,0,No,45,Dry,None
60982,Volkswagen,New Beetle,2007,California,1,No,25,Wet,None
60982,KIA,Sorento,2018,California,0,No,40,Wet,None
60983,Mercury,Sable,1998,California,0,"Yes, Too Fast for Conditions",25,Wet,None
60984,Jeep / Kaiser-Jeep / Willys- Jeep,Renegade,2017,California,0,No,40,Dry,None
60985,Chevrolet,Equinox,2015,California,0,No,55,Dry,Fail to obey yield sign
60985,Suzuki,450-749cc,2006,California,1,No,55,Dry,None
60986,Ford,Transit,2019,California,0,No,65,Dry,None
60987,Acura,MDX,2004,California,1,No,40,Dry,None
60988,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2006,California,0,"Yes, Too Fast for Conditions",65,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60988,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2003,No Driver Present/Unknown if Driver Present,0,No Driver Present/Unknown if Driver Present,65,Dry,No Driver Present/Unknown if Driver Present
60989,Buick / Opel,LaCrosse,2014,California,1,"Yes, Too Fast for Conditions",55,Dry,None
60990,Harley-Davidson,750cc or greater,2000,California,1,"Yes, Too Fast for Conditions",45,Dry,None
60990,Nissan/Datsun,Xterra,2004,California,0,"Yes, Too Fast for Conditions",45,Dry,None
60991,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2003,California,1,No,70,Dry,None
60992,KIA,Sorento,2013,California,0,No,40,Dry,None
60993,KIA,Sorento,2017,California,0,No,65,Wet,None
60994,Nissan/Datsun,Frontier (1998 on),2015,California,1,No,45,Dry,None
60995,Kawasaki,125-349cc,2013,California,1,No,45,Dry,None
60995,Toyota,Sienna,2004,California,0,No,45,Dry,None
60996,Honda,"Civic/CRX, del Sol",2013,California,0,No,35,Dry,None
60997,Cadillac,CTS/CTC,2006,California,0,Reported as Unknown,35,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60998,Subaru,Impreza,2013,California,0,No,25,Dry,None
60998,Suzuki,750cc-over,2001,California,1,No,40,Dry,None
60999,Cadillac,Escalade/ESV (from 2004 on; see 431 for 2003 only),2000,California,0,No,40,Dry,None
61000,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,No,35,Dry,None
61001,Toyota,Tacoma,2005,California,0,No,55,Dry,None
61002,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2005,California,1,No,55,Dry,None
61004,Harley-Davidson,750cc or greater,2001,California,1,No,55,Dry,None
61004,Ford,F-Series pickup,2002,California,0,No,55,Dry,None
61004,Dodge,Durango (1998-2003 only; see model 422 for 2004 on),2002,California,0,No,55,Dry,None
61005,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",1998,California,1,No,55,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61005,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",1998,California,1,No,55,Dry,Unsafe or prohibited lane change
61005,Nissan/Datsun,810/Maxima,2002,California,0,No,55,Dry,None
61006,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2018,California,1,"Yes, Too Fast for Conditions",65,Wet,None
61006,Ford,Medium/Heavy ï¿½ CBE,1993,California,0,No,65,Wet,None
61007,Honda,"Civic/CRX, del Sol",2012,California,1,No,65,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61008,Triumph,450-749cc,2013,California,1,"Yes, Too Fast for Conditions",65,Dry,None
61009,Ford,Fiesta,2012,Washington,1,No,65,Dry,None
61009,Honda,"Civic/CRX, del Sol",2016,California,1,No,65,Dry,None
61010,Other Import,Mini-Cooper,2006,California,1,"Yes, Too Fast for Conditions",35,Dry,None
61010,Nissan/Datsun,Sentra,2017,California,0,No,35,Dry,None
61011,Toyota,Camry,2007,California,1,No,25,Dry,None
61011,Nissan/Datsun,Titan (from 2007 on; see 473 for 2004-06),2012,California,0,No,45,Dry,None
61012,Toyota,Pickup,1989,California,1,No,25,Dry,None
61013,Mercedes-Benz,C Class (94 on),2002,California,2,No,45,Dry,None
61014,Volvo,Medium/Heavy ï¿½ CBE,2014,California,0,No,65,Dry,None
61016,Mercury,Sable,2000,California,1,No,70,Dry,None
61017,Toyota,Prius *,2007,California,1,"Yes, Too Fast for Conditions",35,Dry,None
61018,Ford,Ranger,1993,California,1,No,55,Dry,None
61018,GMC,"C, K, R, V-series pickup/     Sierra",2003,California,0,No,55,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61019,Dodge,Ram Pickup,2016,California,0,No,55,Dry,None
61019,Kawasaki,750cc or greater,2014,California,1,No,55,Dry,None
61021,Honda,"Civic/CRX, del Sol",2005,California,1,No,55,Dry,None
61022,Ford,Medium/Heavy ï¿½ CBE,2001,California,0,No,35,Wet,None
61022,GMC,"C, K, R, V-series pickup/     Sierra",1990,California,1,No,35,Wet,None
61023,Chrysler,Sebring,2006,California,0,No,35,Dry,None
61024,KIA,Soul,2012,California,1,No,30,Dry,None
61024,Toyota,Scion tC (2005-2011 only.  See Scion for 2012 on.),2008,California,0,No,25,Dry,None
61025,Ford,E-Series Van/Econoline,9999,Reported as Unknown,0,No,35,Dry,None
61026,Nissan/Datsun,"Rogue (For 2008-2018 only.  For model years 2019 on, see 35-404.)",2011,California,1,"Yes, Too Fast for Conditions",70,Dry,None
61026,Chevrolet,"C, K, R, V-series pickup/Silverado",1997,Canada,0,No,70,Dry,None
61027,Ford,"Edge (For model years 2007-2018 only.  For model years 2019 on, see 12-424.)",2008,California,0,No,40,Dry,None
61027,Yamaha,750cc or greater,2003,California,1,No,40,Dry,None
61028,Honda,"Civic/CRX, del Sol",2009,California,0,No,40,Dry,None
61028,Saturn,LS,2003,California,1,No,35,Dry,None
61029,Freightliner,Medium/Heavy - CBE,2011,California,0,"Yes, Too Fast for Conditions",70,Dry,None
61029,KIA,Optima,2019,Montana,1,No,70,Dry,None
61030,Chevrolet,"C, K, R, V-series pickup/Silverado",2001,California,1,No,55,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61031,Chevrolet,Cruze,2015,California,0,No,55,Dry,None
61032,Toyota,Corolla,2015,California,1,No,50,Dry,None
61033,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",1999,California,1,No,25,Dry,None
61033,Toyota,Tacoma,2016,California,0,No,35,Dry,None
61034,Chevrolet,"TrailBlazer (2003 on; for 2002 model, see 401)",2003,California,2,"Yes, Too Fast for Conditions",35,Wet,None
61034,Ford,Freestar,2005,California,0,No,35,Wet,None
61034,Chevrolet,"C, K, R, V-series pickup/Silverado",2017,California,0,No,35,Wet,None
61034,Audi,A4,2002,California,0,No,35,Wet,None
61035,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",1997,California,0,"Yes, Too Fast for Conditions",35,Dry,Speed greater than reasonable & prudent (not necessarily over the limit)
61036,Toyota,Avalon,2016,California,2,No,25,Dry,None
61037,Ford,Ranger,2009,California,1,No,70,Dry,None
61038,KIA,Forte,2012,California,1,No,55,Dry,None
61038,Peterbilt,Medium/Heavy - CBE,2014,California,0,No,55,Dry,None
61039,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,Reported as Unknown,70,Dry,Unknown Violation(s)
61040,Suzuki,Forenza,2005,California,1,No,35,Dry,None
61040,Toyota,Highlander,2005,California,0,No,35,Dry,None
61041,Toyota,Yaris,2007,California,0,No,45,Dry,None
61042,Ford,Mustang/Mustang II,2002,California,0,"Yes, Too Fast for Conditions",40,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61043,Mercedes-Benz,C Class (94 on),2008,Reported as Unknown,0,Reported as Unknown,25,Dry,None
61043,Toyota,Corolla,2017,California,2,No,25,Dry,None
61044,Chevrolet,"C, K, R, V-series pickup/Silverado",2016,California,0,No,50,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61044,Honda,Odyssey,2006,California,1,No,40,Dry,None
61045,Toyota,Corolla,2016,California,0,No,25,Dry,None
61046,Lexus,GS-300/350/400/430/ 450h/460,1993,California,0,No,40,Dry,None
61047,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,No,45,Wet,None
61048,Harley-Davidson,750cc or greater,2008,California,1,"Yes, Too Fast for Conditions",25,Dry,None
61048,Toyota,Corolla,2017,California,0,No,25,Dry,None
61049,Chevrolet,"S-10 Blazer/TrailBlazer (2002 only; for 2003 on, see 403)",2000,California,0,No,55,Dry,None
61049,Yamaha,750cc or greater,2007,California,1,No,55,Dry,None
61050,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2010,California,1,"Yes, Too Fast for Conditions",65,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61051,Ford,Mustang/Mustang II,2002,California,1,No,65,Dry,None
61052,Mazda,626,2001,California,1,"Yes, Too Fast for Conditions",55,Wet,None
61053,BMW,3-series,2007,California,1,"Yes, Too Fast for Conditions",65,Dry,None
61054,Honda,"Civic/CRX, del Sol",2003,California,2,No,65,Dry,None
61054,Acura,TSX,2012,California,0,No,65,Dry,None
61055,Jeep / Kaiser-Jeep / Willys- Jeep,Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),2012,California,0,No,40,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61055,Jeep / Kaiser-Jeep / Willys- Jeep,Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),2012,California,0,No,40,Dry,"Hit-and-run, fail to stop after crash"
61056,Lexus,ES-250/300/300h/330/ 350,2008,California,0,No,40,Dry,None
61057,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,No,35,Dry,None
61058,Freightliner,Medium/Heavy - CBE,2010,California,0,No,55,Dry,None
61058,Other Make,Unknown cc,2011,California,1,No,55,Dry,None
61059,Harley-Davidson,750cc or greater,1999,California,1,"Yes, Too Fast for Conditions",45,Dry,None
61060,Suzuki,450-749cc,2006,California,1,"Yes, Too Fast for Conditions",25,Dry,None
61061,Unknown Make,Medium/Heavy ï¿½ COE entry position unknown,9999,Reported as Unknown,0,Reported as Unknown,40,Dry,Unknown Violation(s)
61062,Jeep / Kaiser-Jeep / Willys- Jeep,Grand Cherokee (For 2014 on.  Use model 404 for model years prior to 2013.),2014,California,0,No,45,Dry,None
61063,Toyota,4-Runner,1999,California,0,No,40,Dry,None
61064,Toyota,Tacoma,2009,California,1,No,70,Dry,None
61065,Isuzu,Rodeo/ Rodeo Sport,1999,California,1,No,65,Dry,None
61066,Honda,Other (automobile),2010,California,0,"Yes, Too Fast for Conditions",55,Dry,None
61066,Dodge,Charger,2016,California,0,"Yes, Too Fast for Conditions",55,Dry,None
61066,BMW,2-Series,2017,California,1,No,0,Non-Trafficway or Driveway Access,None
61067,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",1996,Mexico,0,No,98,Dry,Unknown Violation(s)
61068,KIA,Soul,2014,California,1,No,25,Dry,None
61068,Chevrolet,Medium/Heavy ï¿½ CBE,2014,Arizona,0,No,25,Dry,None
61069,Ford,Focus,2007,California,1,"Yes, Too Fast for Conditions",55,Dry,None
61070,Mercedes-Benz,E Class (97 on),2004,California,1,No,65,Dry,None
61071,Ford,F-Series pickup,1998,California,1,No,55,Dry,None
61071,Kenworth,Medium/Heavy - CBE,1995,California,0,No,55,Dry,None
61072,KIA,Sedona,2006,California,1,No,55,Dry,None
61073,Honda,750 cc or greater,2002,Oregon,2,No,55,Dry,None
61073,Ford,F-Series pickup,2010,Oregon,0,No,55,Dry,None
61075,BMW,Z3,2000,California,2,"Yes, Too Fast for Conditions",70,Dry,None
61076,Nissan/Datsun,Versa,2009,California,1,No,55,Dry,None
61076,Kawasaki,750cc or greater,2000,California,1,No,55,Dry,None
61077,Freightliner,Medium/Heavy - CBE,2014,California,0,"Yes, Too Fast for Conditions",65,Dry,None
61077,Honda,"Civic/CRX, del Sol",2019,California,2,No,65,Dry,None
61077,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2018,California,0,No,65,Dry,None
61077,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2018,California,0,No,65,Dry,None
61077,Honda,CR-V,2000,California,0,No,65,Dry,None
61077,Chevrolet,Bolt,2017,California,0,No,65,Dry,None
61077,Cadillac,Escalade/ESV (from 2004 on; see 431 for 2003 only),2013,California,0,No,65,Dry,None
61078,Harley-Davidson,750cc or greater,2005,California,1,No,55,Dry,None
61078,Chrysler,Sebring,2002,California,0,No,55,Dry,None
61078,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,No,55,Dry,None
61079,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",1996,California,0,"Yes, Too Fast for Conditions",55,Dry,None
61079,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2002,California,0,No,55,Dry,None
61079,Toyota,Camry,2009,California,1,No,55,Dry,None
61080,Dodge,Durango (2004 on; see 402 for 1998-2003 models),2006,California,1,No,55,Dry,None
61080,Freightliner,Medium/Heavy - CBE,2013,California,0,No,55,Dry,None
61081,Ford,F-Series pickup,2001,California,1,No,0,Dry,None
61082,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2008,California,1,No,45,Dry,None
61082,Chevrolet,Cruze,2015,Texas,0,No,45,Dry,None
61083,KIA,Cadenza,2017,California,0,No,45,Dry,None
61083,Honda,450-749 cc,1988,California,1,No,45,Dry,None
61084,Mercedes-Benz,C Class (94 on),2014,California,1,"Yes, Too Fast for Conditions",35,Dry,Serious violation resulting in death
61084,Mercedes-Benz,C Class (94 on),2014,California,1,"Yes, Too Fast for Conditions",35,Dry,Manslaughter or homicide
61084,Mercedes-Benz,C Class (94 on),2014,California,1,"Yes, Too Fast for Conditions",35,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61085,Nissan/Datsun,810/Maxima,1993,California,1,No,45,Dry,None
61086,Toyota,Sienna,2002,California,0,No,40,Dry,None
61086,Honda,Odyssey,2018,California,1,No,35,Dry,None
61086,Infiniti,QX56,2006,California,0,No,35,Dry,None
61087,Ford,Expedition,2019,Reported as Unknown,0,"Yes, Too Fast for Conditions",20,Dry,None
61087,Toyota,Camry,2012,Oklahoma,0,No,20,Dry,None
61088,Ford,Fusion,2010,California,1,No,45,Dry,None
61089,Yamaha,450-749cc,1989,California,1,No,20,Dry,None
61089,Chevrolet,"C, K, R, V-series pickup/Silverado",1993,California,0,No,35,Dry,None
61090,Honda,Passport,1998,California,1,No,45,Dry,None
61090,Nissan/Datsun,Sentra,2015,California,0,No,45,Dry,None
61091,Ford,EcoSport,2018,California,0,No,35,Dry,None
61091,BMW,3-series,2004,California,1,No,35,Dry,None
61092,KIA,Sorento,2015,California,0,No,35,Dry,None
61093,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,Reported as Unknown,40,Dry,None
61096,Volkswagen,Passat (CC - 2008 thru 2011; see 052 for 2012 on),2017,California,1,No,0,Non-Trafficway or Driveway Access,None
61096,Dodge,Ram Pickup,2006,California,0,No,35,Dry,None
61097,Ford,Fusion,2012,California,1,No,35,Dry,None
61098,Ford,Mustang/Mustang II,1997,California,1,No,65,Dry,None
61099,Saturn,SL,2001,California,1,No,50,Dry,None
61099,BMW,3-series,2009,California,0,No,50,Dry,None
61099,Mazda,Mazda3,2013,California,0,No,50,Dry,None
61100,Hyundai,Santa Fe,2007,California,1,"Yes, Too Fast for Conditions",65,Dry,None
61100,Peterbilt,Medium/Heavy ï¿½ Unknown engine location,2016,California,0,No,65,Dry,None
61101,Lincoln,Continental (thru '81)/ Town Car,1997,California,2,No,70,Dry,None
61101,Freightliner,Medium/Heavy - CBE,2020,California,0,No,70,Dry,None
61101,Freightliner,Medium/Heavy - CBE,2012,California,0,No,70,Dry,None
61101,Ford,Mustang/Mustang II,2014,California,0,No,70,Dry,None
61103,Isuzu,"Medium/Heavy ï¿½ COE, low entry",2003,California,1,No,70,Dry,None
61104,Toyota,Highlander,2018,California,0,No,35,Dry,None
61104,Kawasaki,750cc or greater,2007,California,1,No,35,Dry,None
61105,White/Autocar White/GMC,Medium/Heavy ï¿½ COE entry position unknown,2013,California,0,No,25,Dry,None
61106,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,Reported as Unknown,35,Wet,None
61107,Ford,Fusion,2017,California,0,No,40,Dry,None
61107,Nissan/Datsun,Quest,1994,California,1,No,45,Dry,None
61108,Toyota,Camry,2004,California,1,"Yes, Too Fast for Conditions",40,Dry,None
61109,Hyundai,Tucson,2005,California,0,No,25,Dry,None
61110,BMW,3-series,2007,California,0,"Yes, Too Fast for Conditions",40,Dry,Manslaughter or homicide
61110,BMW,3-series,2007,California,0,"Yes, Too Fast for Conditions",40,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61110,Honda,"Civic/CRX, del Sol",1996,California,0,No,40,Dry,None
61111,Dodge,"Journey (For 2009-2018 only.  For model years 2019 on, see 07-404.)",2016,Mexico,0,No,25,Dry,None
61112,Nissan/Datsun,Sentra,2016,California,0,No,35,Dry,None
61113,Nissan/Datsun,Titan (from 2007 on; see 473 for 2004-06),2018,California,0,"Yes, Too Fast for Conditions",40,Dry,None
61113,GMC,Fullsize Jimmy/Yukon,2003,California,1,No,35,Dry,None
61114,Yamaha,750cc or greater,2007,California,1,"Yes, Too Fast for Conditions",25,Dry,None
61114,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2015,California,0,No,25,Dry,None
61115,Ford,Taurus/Taurus X,2006,California,0,No,40,Dry,None
61115,Honda,450-749 cc,2002,California,1,No,40,Dry,None
61116,KIA,Soul,2013,California,0,No,65,Dry,None
61116,GMC,"C, K, R, V-series pickup/     Sierra",1999,California,1,No,65,Dry,None
61117,Ford,Taurus/Taurus X,1999,California,1,No,65,Dry,None
61118,BMW,3-series,2003,California,0,No,65,Dry,None
61118,Harley-Davidson,750cc or greater,2013,California,1,"Yes, Too Fast for Conditions",65,Dry,None
61119,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",1999,California,1,No,65,Dry,None
61119,GMC,Medium/Heavy - CBE,1998,California,0,No,65,Dry,None
61120,Lexus,GS-300/350/400/430/ 450h/460,2011,California,1,No,70,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61121,Toyota,Camry,1997,California,1,No,55,Dry,None
61121,Chevrolet,Captiva,2014,California,0,No,55,Dry,None
61122,KIA,Rio/Rio5,2017,California,1,No,40,Dry,None
61123,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2014,California,0,No,35,Dry,None
61123,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2014,California,0,No,35,Dry,None
61124,Toyota,Corolla,2018,California,0,"Yes, Too Fast for Conditions",35,Dry,"Hit-and-run, fail to stop after crash"
61125,Harley-Davidson,750cc or greater,1987,California,1,"Yes, Too Fast for Conditions",40,Dry,None
61125,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2016,California,0,No,40,Dry,None
61126,Suzuki,450-749cc,2005,California,1,No,55,Dry,None
61127,Harley-Davidson,750cc or greater,2004,California,1,No,55,Dry,None
61127,Ford,Medium/Heavy ï¿½ CBE,2018,California,0,No,55,Dry,None
61128,Plymouth,Acclaim,1990,California,1,"Yes, Too Fast for Conditions",55,Dry,None
61129,Dodge,Ram Pickup,1997,California,1,No,25,"Mud, Dirt or Gravel",None
61130,Honda,Odyssey,2002,California,1,No,65,Dry,None
61130,Nissan/Datsun,"Rogue (For 2008-2018 only.  For model years 2019 on, see 35-404.)",2015,California,1,No,65,Dry,None
61130,Ford,Fusion,2016,California,0,No,65,Dry,None
61130,Peterbilt,Medium/Heavy ï¿½ Unknown engine location,2015,California,0,No,65,Dry,None
61131,Ducati,750cc or greater,1996,California,1,"Yes, Too Fast for Conditions",65,Dry,None
61132,Ford,Focus,2006,California,1,No,55,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61133,Harley-Davidson,750cc or greater,2002,California,2,No,55,Dry,None
61133,Chevrolet,"C, K, R, V-series pickup/Silverado",2013,California,0,No,55,Dry,None
61133,Toyota,RAV4 *,2019,California,0,No,55,Dry,None
61134,Dodge,Dakota,2005,California,0,"Yes, Too Fast for Conditions",65,Wet,None
61134,Ford,"Edge (For model years 2007-2018 only.  For model years 2019 on, see 12-424.)",2015,California,0,"Yes, Too Fast for Conditions",65,Wet,None
61134,Honda,CR-V,2010,No Driver Present/Unknown if Driver Present,0,No Driver Present/Unknown if Driver Present,65,Wet,No Driver Present/Unknown if Driver Present
61135,Hyundai,Sonata,2017,California,1,"Yes, Too Fast for Conditions",55,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
61136,Toyota,Corolla,1991,California,2,"Yes, Too Fast for Conditions",55,Wet,None
61137,Chevrolet,Avalanche,2003,California,1,No,55,Dry,None
61138,Mercedes-Benz,E Class (97 on),2003,California,0,No,65,Dry,None
61139,Isuzu,"Medium/Heavy ï¿½ COE, low entry",2018,California,1,"Yes, Too Fast for Conditions",50,Dry,None
61139,Other Make,Orion,2003,California,0,No,50,Dry,None
61140,Toyota,Prius *,2006,California,0,No,65,Wet,None
61141,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2012,California,0,"Yes, Too Fast for Conditions",55,Wet,None
61142,Kawasaki,450-749cc,2005,California,1,"Yes, Too Fast for Conditions",65,Dry,None
61143,Chevrolet,Malibu/Malibu Maxx,2006,California,1,No,55,Dry,None
61143,Toyota,4-Runner,1999,California,0,No,55,Dry,None
61144,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2002,California,1,No,65,Dry,None
61145,Subaru,Impreza,2014,California,1,No,25,Dry,None
61145,GMC,"C, K, R, V-series pickup/     Sierra",2003,California,0,No,55,Dry,None
61146,Acura,RL/RLX,2001,California,1,No,55,Dry,None
61146,Chevrolet,"C, K, R, V-series pickup/Silverado",2004,California,0,No,55,Dry,None
61147,BMW,X3,2008,California,0,No,25,Wet,None
61148,Nissan/Datsun,NV,2016,California,0,"Yes, Too Fast for Conditions",25,Dry,None
61148,Ford,Escape,2013,California,1,No,25,Dry,None
61149,Lexus,IS-250/300/350/500/200t,2011,California,0,No,45,Dry,None
61150,BMW,X3,2004,California,0,No,0,Non-Trafficway or Driveway Access,"Hit-and-run, fail to stop after crash"
61151,Harley-Davidson,750cc or greater,2006,California,1,No,55,Dry,None
61152,Ford,Fusion,2015,California,0,"Yes, Too Fast for Conditions",55,Dry,None
61152,Toyota,Prius *,2007,California,1,No,55,Dry,None
61153,Toyota,Camry,2015,California,0,No,40,Dry,None
61154,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)",9999,Reported as Unknown,0,No,65,Dry,None
61155,Honda,Pilot,2010,California,1,No,45,Dry,None
61155,Peterbilt,Medium/Heavy - CBE,1997,California,0,No,55,Dry,None
61156,Pontiac,Firebird/Trans AM,2002,California,1,"Yes, Too Fast for Conditions",65,Dry,None
61158,Chevrolet,Fullsize Blazer/Tahoe,2003,California,1,No,65,Dry,None
61159,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2006,California,0,"Yes, Too Fast for Conditions",40,Dry,None
