CaseNumber,Make,Model,Year,LicenseState,Death,Speeding,SpeedLimit,RoadConditions,Violation
60052,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2003,California,1,"Yes, Exceeded Speed Limit",55,Wet,None
60053,Freightliner,Medium/Heavy - CBE,2015,California,0,No,55,Not Reported,None
60054,Hyundai,Sonata,2015,California,1,No,55,Dry,None
60054,Nissan/Datsun,Frontier (1998 on),2000,California,0,No,55,Dry,None
60055,Honda,"Civic/CRX, del Sol",2004,California,1,No,65,Dry,None
60055,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",1998,California,0,No,65,Dry,None
60056,Toyota,Sienna,2004,California,0,No,65,Wet,None
60057,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2001,California,1,No,55,Dry,None
60057,Chevrolet,Fullsize Blazer/Tahoe,2002,Arizona,0,No,55,Dry,None
60058,Toyota,Tundra,2010,California,0,No,65,Wet,None
60058,Toyota,Camry,2017,California,1,No,65,Wet,None
60059,Jeep / Kaiser-Jeep / Willys- Jeep,YJ series/Wrangler,1990,California,1,No,50,Dry,None
60060,Hyundai,Elantra,2016,California,0,No,45,Wet,None
60060,Toyota,Prius *,2010,California,0,No,45,Wet,None
60061,Ford,"Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",1998,California,1,"Yes, Too Fast for Conditions",70,Not Reported,None
60062,Porsche,912,1976,California,1,"Yes, Too Fast for Conditions",25,Snow ,None
60063,Ford,F-Series pickup,2000,California,0,No,50,Wet,None
60063,Nissan/Datsun,Nissan/Datsun Pickup (1955-1997),1991,California,1,No,50,Wet,None
60064,Chevrolet,"C, K, R, V-series pickup/Silverado",2014,California,0,"Yes, Too Fast for Conditions",55,Dry,None
60064,Hyundai,Sonata,2018,California,2,No,55,Dry,None
60064,Mazda,CX5,2016,California,0,No,55,Dry,None
60064,Ford,Fusion,2016,California,0,No,55,Dry,None
60065,Mitsubishi,Galant,2002,California,1,No,40,Wet,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60065,Ford,Focus,2005,California,0,No,40,Wet,None
60066,Ford,Focus,2018,Arizona,1,No,65,Dry,None
60067,Hyundai,Elantra,1996,California,1,No,70,Dry,None
60068,Ford,E-Series Van/Econoline,2006,California,1,No,65,Dry,None
60069,Chevrolet,S-10/T-10 Pickup,1998,California,1,"Yes, Too Fast for Conditions",55,Dry,None
60069,International Harvester/Navistar,Medium/Heavy - CBE,1999,California,0,No,55,Dry,None
60070,Toyota,Yaris,2009,California,1,No,70,Dry,None
60070,Saab,9-3/9-3X,2004,California,0,No,70,Dry,None
60070,Mercury,Milan,2010,California,0,No,55,Dry,None
60071,Ford,Ranger,2000,California,1,No,55,Dry,None
60072,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2001,California,1,No,55,Dry,None
60072,Nissan/Datsun,"Murano (For 2003-2018 only.  For model years 2019 on, see 35-422.)",2003,California,0,No,55,Dry,None
60073,Saturn,Vue,2005,California,2,Reported as Unknown,55,Dry,None
60074,Honda,"Civic/CRX, del Sol",2019,California,1,No,55,Dry,None
60075,Dodge,Ram Pickup,2004,California,0,No,55,Wet,None
60075,Mercedes-Benz,SPRINTER,2013,California,1,No,55,Wet,None
60076,Toyota,Corolla,2007,California,0,No,55,Dry,None
60077,Dodge,Caliber,2008,California,0,No,25,Dry,None
60078,Honda,"Civic/CRX, del Sol",2016,California,2,No,55,Wet,None
60078,GMC,Medium/Heavy - CBE,1999,California,0,No,55,Wet,None
60079,Chevrolet,Colorado,2004,California,1,No,50,Dry,None
60080,Chevrolet,Malibu/Malibu Maxx,2007,California,1,No,40,Dry,None
60081,Audi,A4,2005,California,1,No,45,Wet,None
60081,GMC,Safari (Minivan),1996,California,0,No,45,Wet,None
60082,Hyundai,Veloster,2013,California,0,No,65,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60082,Volkswagen,Jetta/Jetta SportsWagen,2008,California,0,No,65,Dry,None
60082,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2013,California,0,No,65,Dry,None
60082,Ford,"Crown Victoria  (For 2011 on, code as vehicle model 398)",2007,California,1,No,65,Dry,None
60082,Cadillac,Escalade/ESV (from 2004 on; see 431 for 2003 only),2016,California,0,No,65,Dry,None
60083,Acura,TLX,2016,California,1,No,55,Dry,None
60083,Chevrolet,"C, K, R, V-series pickup/Silverado",2013,California,0,No,55,Dry,None
60084,Scion,FR-S,2016,California,1,No,70,Wet,None
60085,Other Make,Unknown cc,1999,California,1,No,40,Dry,None
60085,Jeep / Kaiser-Jeep / Willys- Jeep,Patriot,2014,California,0,No,40,Dry,None
60086,Toyota,Tacoma,2002,California,1,No,40,Wet,None
60087,Toyota,Corolla,1999,California,0,No,25,Wet,None
60088,Isuzu,Rodeo/ Rodeo Sport,1993,California,1,"Yes, Too Fast for Conditions",98,Dry,None
60089,GMC,"C, K, R, V-series pickup/     Sierra",2008,California,0,No,50,Wet,None
60090,GMC,Fullsize Jimmy/Yukon,2007,California,0,No,55,Wet,None
60090,Toyota,Camry,2003,California,1,No,55,Wet,None
60090,Jeep / Kaiser-Jeep / Willys- Jeep,Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),2000,California,0,No,55,Wet,None
