CaseNumber,State,County,City,Lat,Long,Year,Month,MonthName,Day,WeekDay,Hour,Function,Route,Fatalities,People,Pedestrian,Vehicle_total,Vehicle_ord,DrunkDriver,CollisionType,LightConditions,Deadly
61597,California,SAN DIEGO,SANTEE,32.84396667,-116.9692917,2019,5,May,7,Tuesday,5,Minor Arterial,Unknown,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61598,California,NAPA,NOT APPLICABLE,38.47138611,-122.4320278,2019,9,September,4,Wednesday,18,Minor Arterial,State Highway,1,1,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
61599,California,LOS ANGELES,NOT APPLICABLE,34.56704722,-117.9431361,2019,6,June,9,Sunday,19,Major Collector,Unknown,1,2,0,2,Double,1,Angle ,Dusk,0.5
61600,California,LOS ANGELES,PICO RIVERA,34.00055556,-118.0839833,2019,8,August,12,Monday,22,Minor Collector,Local Street - Municipality,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,1
61601,California,TULARE,TULARE,36.20865833,-119.3419667,2019,8,August,24,Saturday,19,Principal Arterial - Other,State Highway,1,2,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dusk,0.5
61602,California,SACRAMENTO,FOLSOM,38.68449444,-121.1807417,2019,8,August,11,Sunday,0,Principal Arterial - Other,Unknown,1,2,0,2,Double,2,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,0.5
61603,California,LOS ANGELES,PARAMOUNT,33.903775,-118.1558361,2019,9,September,13,Friday,0,Principal Arterial - Other,Local Street - Municipality,1,3,0,3,Multiple,0,Sideswipe - Same Direction,Dark - Lighted,0.333333333
61604,California,PLACER,NOT APPLICABLE,38.97954167,-120.9409139,2019,9,September,18,Wednesday,23,Major Collector,County Road,1,1,0,1,Single,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
61605,California,SAN JOAQUIN,LODI,38.11323056,-121.2587611,2019,8,August,2,Friday,7,Principal Arterial - Other Freeways and Expressways,State Highway,2,2,0,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
61606,California,SONOMA,NOT APPLICABLE,38.48614722,-122.8127222,2019,6,June,26,Wednesday,13,Major Collector,Unknown,1,4,0,3,Multiple,0,Angle ,Daylight,0.25
